Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"	"TAU score - Tissue"	"TAU score - Blood"	"TAU score - Brain"	"TAU score - Single Cell Type"	"TAU score - Single nuclei brain"	"Tissue RNA - endometrium 1 [nTPM]"
ABHD2	LABH2	ENSG00000140526	"Abhydrolase domain containing 2, acylglycerol lipase"	P08910	15	89087459-89202355	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"	"Lipid degradation, Lipid metabolism"	"Hydrolase, Serine esterase"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.89e-1)"	0.33	0.53	0.21	0.42	0.25	20.0
ABHD3	LABH3	ENSG00000158201	"Abhydrolase domain containing 3, phospholipase"	Q8WU67	18	21650901-21704780	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"	"Lipid metabolism, Phospholipid metabolism"	"Hydrolase, Serine esterase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"potential prognostic unfavorable (4.96e-4)"	0.37	0.28	0.18	0.40	0.25	7.8
ABHD4	FLJ12816	ENSG00000100439	"Abhydrolase domain containing 4, N-acyl phospholipase B"	Q8TB40	14	22598290-22612963	"Enzymes, Predicted intracellular proteins"	"Lipid degradation, Lipid metabolism"	Hydrolase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.81e-1)"	0.15	0.49	0.09	0.48	0.42	25.5
ABHD5	"CGI-58, NCIE2"	ENSG00000011198	"Abhydrolase domain containing 5, lysophosphatidic acid acyltransferase"	Q8WTS1	3	43690108-43734371	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Differentiation, Fatty acid metabolism, Lipid biosynthesis, Lipid metabolism, Phospholipid biosynthesis, Phospholipid metabolism"	"Acyltransferase, Transferase"	"Cataract, Deafness, Disease variant, Ichthyosis"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.43e-1)"	0.30	0.60	0.15	0.38	0.19	5.5
ABHD6		ENSG00000163686	"Abhydrolase domain containing 6, acylglycerol lipase"	Q9BV23	3	58237532-58295693	"Enzymes, Metabolic proteins, Predicted membrane proteins"	"Lipid metabolism"	Hydrolase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.30e-1)"	0.45	0.54	0.13	0.58	0.20	5.9
ABHD8	"FLJ11743, MGC14280, MGC2512"	ENSG00000127220	"Abhydrolase domain containing 8"	Q96I13	19	17292131-17310236	"Predicted intracellular proteins"		Hydrolase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.85e-2)"	0.48	0.42	0.12	0.63	0.19	11.1
ABI1	"ABI-1, E3B1, SSH3BP1"	ENSG00000136754	"Abl interactor 1"	Q8IZP0	10	26746593-26861087	"Cancer-related genes, Disease related genes, Predicted intracellular proteins"	"Host-virus interaction"		"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (3.00e-1)"	0.27	0.14	0.11	0.34	0.21	25.7
ABI2	"ABI-2, ABI2B, AblBP3, AIP-1, argBPIA, SSH3BP2"	ENSG00000138443	"Abl interactor 2"	Q9NYB9	2	203328280-203447728	"Predicted intracellular proteins"	"Host-virus interaction, Neurogenesis"		"Disease variant, Intellectual disability"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.12e-1)"	0.28	0.54	0.07	0.32	0.14	27.1
ABI3	"NESH, SSH3BP3"	ENSG00000108798	"ABI family member 3"	Q9P2A4	17	49210411-49223225	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.64e-1)"	0.54	0.39	0.16	0.81	0.89	7.0
ABI3BP	"DKFZP586L2024, NESHBP, TARSH"	ENSG00000154175	"ABI family member 3 binding protein"	Q7Z7G0	3	100749156-100993515	"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"			"Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (7.63e-3)"	0.33	"Not detected"	0.31	0.68	0.48	47.9
ABITRAM	"C9orf6, CG-8, FAM206A, FLJ20457, Simiate"	ENSG00000119328	"Actin binding transcription modulator"	Q9NX38	9	108934400-108950744	"Plasma proteins, Predicted intracellular proteins"		Actin-binding		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.50e-2)"	0.15	0.13	0.05	0.38	0.24	13.2
ABL1	"ABL, c-ABL, JTK7, p150"	ENSG00000097007	"ABL proto-oncogene 1, non-receptor tyrosine kinase"	P00519	9	130713043-130887675	"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, RAS pathway related proteins"	"Apoptosis, Autophagy, Cell adhesion, DNA damage, DNA repair, Endocytosis"	"DNA-binding, Kinase, Transferase, Tyrosine-protein kinase"	"Cancer-related genes, Disease variant, FDA approved drug targets, Proto-oncogene"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (3.41e-2)"	0.24	0.57	0.05	0.43	0.16	60.9
ABL2	"ABLL, ARG"	ENSG00000143322	"ABL proto-oncogene 2, non-receptor tyrosine kinase"	P42684	1	179099330-179229684	"Cancer-related genes, Enzymes, Predicted intracellular proteins, RAS pathway related proteins"	"Cell adhesion"	"Kinase, Transferase, Tyrosine-protein kinase"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (6.00e-2)"	0.36	0.66	0.07	0.44	0.13	3.4
ABLIM1	"ABLIM, LIMAB1, limatin"	ENSG00000099204	"Actin binding LIM protein 1"	O14639	10	114431112-114768061	"Predicted intracellular proteins"		Actin-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (5.26e-2)"	0.28	0.50	0.19	0.44	0.26	35.1
ABLIM2	KIAA1808	ENSG00000163995	"Actin binding LIM protein family member 2"	Q6H8Q1	4	7965310-8158832	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.06e-1)"	0.73	"Not detected"	0.15	0.77	0.26	1.1
ABLIM3	KIAA0843	ENSG00000173210	"Actin binding LIM protein family member 3"	O94929	5	149141483-149260542	"Plasma proteins, Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (5.43e-2)"	0.44	0.95	0.18	0.71	0.33	10.0
ABO	"A3GALNT, A3GALT1"	ENSG00000175164	"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase"		9	133233278-133276024	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"				"Evidence at transcript level"	"Evidence at transcript level"			"unprognostic (1.22e-1)"	0.58	0.71	0.12	0.65	0.66	1.3
ABR	MDB	ENSG00000159842	"ABR activator of RhoGEF and GTPase"	Q12979	17	1003519-1229738	"Predicted intracellular proteins"		"GTPase activation, Guanine-nucleotide releasing factor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (3.70e-1)"	0.51	0.90	0.10	0.45	0.34	27.6
ABRA	STARS	ENSG00000174429	"Actin binding Rho activating protein"	Q8N0Z2	8	106759483-106770244	"Predicted intracellular proteins"	"Protein transport, Transcription, Transcription regulation, Translocation, Transport"	"Actin-binding, Activator"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"		0.90	"Not detected"	0.55	0.95	0.80	1.1
ABRACL	"C6orf115, Costars, HSPC280, PRO2013"	ENSG00000146386	"ABRA C-terminal like"	Q9P1F3	6	139028745-139043302	"Plasma proteins, Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (3.49e-1)"	0.34	0.17	0.20	0.40	0.46	21.4
ABRAXAS1	"ABRA1, ABRAXAS, CCDC98, FAM175A, FLJ13614"	ENSG00000163322	"Abraxas 1, BRCA1 A complex subunit"	Q6UWZ7	4	83459517-83523348	"Disease related genes, Predicted intracellular proteins"	"DNA damage, DNA repair"	"Chromatin regulator"	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.97e-1)"	0.36	0.31	0.15	0.47	0.52	6.2
ABRAXAS2	"ABRO1, Em:AC068896.4, FAM175B, KIAA0157"	ENSG00000165660	"Abraxas 2, BRISC complex subunit"	Q15018	10	124801819-124836667	"Predicted intracellular proteins"	"Cell cycle, Cell division, Mitosis, Ubl conjugation pathway"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (3.57e-1)"	0.22	0.26	0.05	0.30	0.09	9.1
ABT1	Esf2	ENSG00000146109	"Activator of basal transcription 1"	Q9ULW3	6	26596953-26600739	"Predicted intracellular proteins"	"Transcription, Transcription regulation"	"DNA-binding, RNA-binding"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (3.17e-2)"	0.29	0.10	0.13	0.34	0.29	10.4
ABTB1	"BPOZ, Btb3, BTBD21, EF1ABP"	ENSG00000114626	"Ankyrin repeat and BTB domain containing 1"	Q969K4	3	127672935-127680926	"Predicted intracellular proteins"	"Protein biosynthesis"	"Elongation factor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.33e-2)"	0.31	0.49	0.11	0.33	0.27	28.7
ABTB2	"ABTB2A, BTBD22, DKFZP586C1619"	ENSG00000166016	"Ankyrin repeat and BTB domain containing 2"	Q8N961	11	34150987-34358010	"Metabolic proteins, Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"unprognostic (2.89e-1)"	0.48	0.94	0.20	0.73	0.58	5.9
ACAA1	Lnc-Myd88	ENSG00000060971	"Acetyl-CoA acyltransferase 1"	P09110	3	38103129-38137242	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism"	"Acyltransferase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.31e-2)"	0.44	0.19	0.06	0.42	0.19	20.1
ACAA2	DSAEC	ENSG00000167315	"Acetyl-CoA acyltransferase 2"	P42765	18	49782164-49813953	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism"	"Acyltransferase, Hydrolase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"potential prognostic unfavorable (6.52e-4)"	0.43	0.12	0.07	0.49	0.49	28.1
ACACA	"ACAC, Acac1, ACACalpha, ACC, ACC-alpha, ACC1, ACCA, ACCalpha, hACC1"	ENSG00000278540	"Acetyl-CoA carboxylase alpha"	Q13085	17	37084992-37406836	"Disease related genes, Enzymes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Fatty acid biosynthesis, Fatty acid metabolism, Lipid biosynthesis, Lipid metabolism"	"Allosteric enzyme, Ligase, Multifunctional enzyme"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.40e-2)"	0.25	0.37	0.10	0.51	0.08	11.7
ACACB	"ACACbeta, ACC-beta, ACC2, ACCB, ACCbeta, HACC275"	ENSG00000076555	"Acetyl-CoA carboxylase beta"	O00763	12	109116587-109268226	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Fatty acid biosynthesis, Fatty acid metabolism, Lipid biosynthesis, Lipid metabolism"	"Allosteric enzyme, Ligase, Multifunctional enzyme"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (9.14e-3)"	0.48	0.79	0.12	0.60	0.47	11.6
ACAD10	MGC5601	ENSG00000111271	"Acyl-CoA dehydrogenase family member 10"	Q6JQN1	12	111686053-111757107	"Metabolic proteins, Predicted intracellular proteins"		Oxidoreductase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (3.53e-2)"	0.24	0.25	0.15	0.38	0.20	7.3
ACAD11	FLJ12592	ENSG00000240303	"Acyl-CoA dehydrogenase family member 11"	Q709F0	3	132558138-132660082	"Metabolic proteins, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism"	Oxidoreductase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (3.39e-2)"	0.53	0.61	0.29	0.77	0.13	7.7
ACAD8		ENSG00000151498	"Acyl-CoA dehydrogenase family member 8"	Q9UKU7	11	134253548-134265855	"Disease related genes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins"	"Branched-chain amino acid catabolism, Transcription, Transcription regulation"	"Activator, Oxidoreductase"	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.08e-2)"	0.32	0.26	0.37	0.37	0.15	6.0
ACAD9	"MGC14452, NPD002"	ENSG00000177646	"Acyl-CoA dehydrogenase family member 9"	Q9H845	3	128879596-128924003	"Disease related genes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins"		Oxidoreductase	"Disease variant, Primary mitochondrial disease"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.20e-1)"	0.30	0.34	0.06	0.26	0.06	14.1
ACADM	"ACAD1, MCAD, MCADH"	ENSG00000117054	"Acyl-CoA dehydrogenase medium chain"	P11310	1	75724431-75787575	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism"	Oxidoreductase	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.72e-2)"	0.38	0.22	0.46	0.40	0.07	19.5
ACADS	"ACAD3, SCAD"	ENSG00000122971	"Acyl-CoA dehydrogenase short chain"	P16219	12	120725774-120740008	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism"	Oxidoreductase	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"potential prognostic favorable (4.58e-5)"	0.47	0.20	0.10	0.54	0.39	9.9
ACADSB	"ACAD7, SBCAD"	ENSG00000196177	"Acyl-CoA dehydrogenase short/branched chain"	P45954	10	123008979-123058290	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism"	Oxidoreductase	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.20e-1)"	0.53	0.32	0.09	0.57	0.11	9.6
ACADVL	"ACAD6, LCACD, VLCAD"	ENSG00000072778	"Acyl-CoA dehydrogenase very long chain"	P49748	17	7217125-7225266	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism"	Oxidoreductase	"Cardiomyopathy, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.71e-1)"	0.26	0.23	0.17	0.28	0.26	95.3
ACAP1	"CENTB1, KIAA0050"	ENSG00000072818	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1"	Q15027	17	7336529-7351477	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins"	"Protein transport, Transport"	"GTPase activation"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.24e-1)"	0.72	0.20	0.35	0.73	0.68	1.4
ACAP2	"CENTB2, CNT-B2, KIAA0041"	ENSG00000114331	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2"	Q15057	3	195274745-195443044	"Plasma proteins, Predicted intracellular proteins"		"GTPase activation"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.58e-1)"	0.28	0.34	0.08	0.23	0.15	13.9
ACAP3	"CENTB5, KIAA1716"	ENSG00000131584	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3"	Q96P50	1	1292390-1309609	"Predicted intracellular proteins"		"GTPase activation"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (6.95e-2)"	0.49	"Not detected"	0.15	0.53	0.19	15.7
ACAT1	"ACAT, THIL"	ENSG00000075239	"Acetyl-CoA acetyltransferase 1"	P24752	11	108116695-108147603	"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism"	"Acyltransferase, Transferase"	"Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (6.88e-2)"	0.38	0.21	0.32	0.45	0.19	42.5
ACAT2		ENSG00000120437	"Acetyl-CoA acetyltransferase 2"	Q9BWD1	6	159762045-159779112	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"		"Acyltransferase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (4.39e-2)"	0.48	0.17	0.19	0.39	0.33	10.6
